Tema 32;El contenido del Consejo Superior de Tráfico, Seguridad Vial y Movilidad Sostenible previsto en el Texto Refundido sobre tráfico, circulación de vehículos a motor y seguridad vial fue modificado por:;B;Por la Ley Orgánica 19/2008.;Por la Ley 18/2009.;Por la Ley 12/2007.;Por Real Decreto Ley 12/2007.;;;
Tema 32;¿Qué tipo de Comisiones se regulan como consecuencia del desarrollo del Consejo Superior de Tráfico, Seguridad Vial y Movilidad Sostenible regulado en el articulo 8° del texto Refundido?;A;Una Comisión del Consejo en cada Comunidad Autónoma.;Una Comisión Local de seguridad vial.;Las respuestas a) y b) son correctas.;Todas las respuestas son falsas ya que la Comisión Local de Seguridad Vial ha sido suprimida y las Comisiones Autonómicas no existen.;;;
Tema 32;¿Qué normativa regula la supresión de la Comisión para el estudio del tráfico y la seguridad vial en vías urbanas?;C;Dicha normativa no ha sido suprimida.;La Ley 6/2014 por la que se modifica el Texto Refundido sobre Tráfico, Circulación de Vehículos a Motor y Seguridad Vial.;El Real Decreto 776/2011;Las respuestas b) y c) son acertadas.;;;
Tema 32; La Comisión Local de Seguridad Vial estará integrada por los siguientes miembros:;D;El Director General de Tráfico, que podrá delegar en un subdirector general el cual ostentará la Presidencia.;Con rango de vocal dos representantes por cada uno de los siguientes Ministerios: Interior, Fomento, Administraciones Públicas y Ciencia y Tecnología;"Con rango de vocal dos representantes de las Comunidades Autónomas o Ciudades de Ceuta y Melilla elegidos por los que representen a estas
Administraciones públicas en el Pleno.";Las respuestas a) y c) son erróneas.;;;
Tema 32;La Comisión Local de Seguridad Vial estará integrada por los siguientes miembros:;D;El Director General de Tráfico, que podrá delegar en un subdirector general el cual ostentará la Presidencia.;Con rango de vocal dos representantes de entidades locales, elegidos por la federación o asociación de municipios de ámbito estatal con mayor implantación.;Con rango de vocal tres representantes de entidades locales, elegidos por la federación o asociación de municipios de ámbito estatal con mayor implantación.;Las respuestas a) y c) son erróneas;;;
Tema 32;La Comisión Local de Seguridad Vial estará integrada por los siguientes miembros:;D;El Director General de Tráfico, que podrá delegar en un subdirector general el cual ostentará la Presidencia.;Con rango de vocal tres representantes de entidades locales, elegidos por la federación o asociación de municipios de ámbito estatal con mayor implantación.;Con rango de vocal cuatro representantes de entidades locales, elegidos por la federación o asociación de municipios de ámbito estatal con mayor implantación.;Las respuestas a) y c) son erróneas.;;;
Tema 32;El Titulo 1° del Texto Refundido sobre tráfico, circulación de vehículos a motor y ° seguridad vial tiene el siguiente enunciado:;A;Del ejercicio y la coordinación de las competencias sobre tráfico, circulación de vehículos a motor y seguridad vial;De las autorizaciones administrativas.;De las infracciones, sanciones, de las medidas cautelares y de la responsabilidad.;De las competencias de los órganos relativos en materia de tráfico.;;;
Tema 32;Las competencias del Ministerio del Interior quedan reguladas en:;A;El artículo 5 del Texto Refundido sobre tráfico, circulación de vehículos a motor y seguridad vial.;El artículo 6 del Texto Refundido sobre tráfico, circulación de vehículos a motor y seguridad vial.;El artículo 7 del Texto Refundido sobre tráfico, circulación de vehículos a motor y seguridad vial.;El artículo 4 del Texto Refundido sobre tráfico, circulación de vehículos a motor y seguridad vial.;;;
Tema 32;Son competencias de la Administración del Estado:;D;La facultad de determinar la normativa técnica básica que afecte de manera directa a la seguridad vial.;La previa homologación, en su caso, de los elementos de los vehículos, remolques y semirremolques que afecten a la seguridad vial, así como la facultad de dictar instrucciones y directrices en materia de inspección técnica de vehículos.;Las respuestas a) y b) son falsas.;Las respuestas a) y b) son ciertas.;;;
Tema 32;Son competencias de la Administración del Estado:;D;La publicación de las normas básicas y mínimas para la programación de la educación vial en las distintas modalidades de la enseñanza.;La aprobación del cuadro de las enfermedades y defectos físicos y psíquicos que inhabilitan para conducir y la fijación de los requisitos sanitarios mínimos para efectuar los reconocimientos para su detección, así como la inspección, control y, en su caso, suspensión o cierre de los establecimientos dedicados a esta actividad.;La determinación de las drogas, estupefacientes, productos psicotrópicos y estimulantes u otras sustancias análogas que puedan afectar a la conducción, así como de las pruebas para su detección y sus niveles máximos.;Todas las respuestas son correctas.;;;
Tema 32;Diga cuál de las siguientes no es una competencia de la Administración del Estado:;C;La facultad de suscribir Tratados y Acuerdos Internacionales relativos a la seguridad de los vehículos y de sus partes y piezas, así como de dictar las disposiciones pertinentes para implantar en España la reglamentación internacional derivada de los mismos.;La facultad de regular aquellas actividades industriales que tengan una incidencia directa sobre la seguridad vial y, en especial, la de los talleres de reparación de vehículos.;Expedir y revisar los permisos y licencias para conducir vehículos a motor y ciclomotores con los requisitos sobre conocimientos, aptitudes técnicas y condiciones psicofísicas y periodicidad que se determinen reglamentariamente, así como la anulación, intervención, revocación y, en su caso la suspensión de los mismos.;La regulación del transporte de personas y, señaladamente, el de menores y el transporte escolar, a los efectos relacionados con la seguridad vial;;;
